English,Italian
"NOZZLE DIA,2,60MM","UGELLO DIA,2,60MM"
Y-FITTING 8-8-8,RACCORDO A Y 8-8-8
SMALL WHEEL,ROTELLA
"ALUM,CORNER SHELV,-POLY,TIERS-373X1541MM","SC,AD ANG ALLUM,RIP,POLYETH-373X1541MM"
REAR SIDEPANEL,PANNELLO POSTERIORE
"MICROWAVE OVEN,44LT,3200W","FORNO MICROONDE,44LT,3200W"
"BUSHING DIA,34X20","BOCCOLA DIA,34X20"
"ALUM,CORNER SHELV,-POLY,TIERS-373X1098MM","SC,AD ANG ALLUM,RIP,POLYETH-373X1098MM"
CLEANING CLOTHS,PANNI PER LA PULIZIA
"EL,SOLID T,ECO,WARM,CAB,1S,BS,1000X900X7","TUTTAPIASTRA EL,ECOTOP+ARM,CALDO,1L,ALZ"
PLUG_PANEL_CLEAR,TAPPO
"ALUM,LINEAR SHELV,-POLY,TIERS-373X2580MM","SC,LINEARI ALLUM,RIP,POLYETH-373X2580MM"
"GAS FRYTOP,RIBBED,1-S,BSPL,400X850X250H","FRYTOP GAS,PIASTRA RIG,,1 LATO,ALZ,H250"
"BLADE DIA,350MM","LAMA DIA,350MM"
SPRAY TUBE_MINI_BPA-FREE,TUBO
DISC E14,DISCO FETTE E14
CONTACTOR 220V/50HZ,CONTATTORE
TRANSFORMER 0-230(20V)-400(1500VA)-440V,"TRASFORMATORE,0-230(20V)-400(1500VA)-440"
ELECTRICAL MOUNTING PLATE,PIASTRA DI SUPPORTO
PARMESAN DISC,DISCO GRATTUGIA ACCIAIO PER PARMIGIANO
SPRING USA,MOLLA USA
GEARMOTOR,MOTORIDUTTORE
"REDUCER 3/4""-1/2","RIDUZIONE 3/4""-1/2"
MICROSWITCH,MICROINTERRUTTORE
BOX SUPPORT,SUPPORTO SCATOLA RESISTENZA
LEFT DOOR,PORTA SINISTRA
WINDOW,SPORTELLO
MICRO SWITCH,MICROINTERRUTTORE
REFRIGERATING AGENT R508B,AGENTE REEFRIGERANTE R508B
"CIRCLIP PLIERS DIAM,19-60","PINZE PER ANELLI DIAM,19-60"
COVERING HINGE,COPERTURA HINGE
LH PANEL,FIANCO SX
O-RING 20X35X6,ANELLO OR 20X35X6
GASKET DX,GUARNIZIONE DX
COOLING UNIT 114X0337,UNITA' REFRIGERANTE 114X0337
GEARWHEEL,RUOTA DENTATA
FIXING ANGLE,SQUADRETTA FISSAGGIO
THREADED SOCKET 1/4,RIDUTTORE 1/4
DRYER UPPER GUIDE,GUIDA
"REPL,= 077019000747",PERNO MANIGLIA
SPACER FOR CN-ESB,DISTANZIALE FOR CN-ESB
CAPACITOR 250MF(110V,CONDENSATORE ELETTRICO
"EL,SOLID TOP,4 ZONE,1S,BSPL,800X850X700H","TUTTAPIASTRA EL,,4 ZONE,1-L,,ALZAT,H700"
SLICING DISC,DISCO FETTE
"WORK TOP,CLOSED,1-SIDE,1500X900X250H","ELEMENTO NEUTRO CHIUSO,1500XH250"
BURNER ASS,BRUCIATORE ASS
"MOTOR,1/2HP,220V/50HZ","MOTORE,1/2HP,220V/50HZ"
COUPLING SET,KIT GIUNTO ACCOPPIAMENTO ALBERO/MOTORE
GEAR GUARD,PROTEZIONE INGRANAGGI
BRACKET PCBA CONTROLLER,SQUADRETTA
"3/PH,SUP,CABLE T10/K55/35/BM10",CAVO DI ALIMENTAZIONE 3-P
"FLANGE ASSEMBLY D,14","ASS,FLANGIA D,14"
"INFRARED TOP,2 ZONE,1S,BSPL,400X850X250H","PIANO INFRAROSSO,2 ZONE,1LATO,ALZAT,H250"
SCREW M5X30,VITE M5X30
MXD-M7D 115V MAINBOARD,SCHEDA MADRE
IMPELLER INOX,GIRANTE INOX
SUCTION PIPE,TUBO ASPIRAZIONE
EMERGENCY PLATE,PLACCA
"OPEN BASE,H2,1-SIDE,900X900X450H",VANO APERTO H2 1 LATO 900XH450
"HEATER,WARMER 220V/100W",RISCALDATORE PIÙ CALDO 220V/100W
BELT KIT,CINGHIA KIT
UPPER COVER ASSEMBLY,ASSIEME CAPPOTTINA
FLOOR DRAIN,PILETTA DI SCARICO
"O-RING ØI=MM,28,17X3,53","GUARNIZIONE OR ØI=MM,28,17X3,53"
CASING WOK,INVOLUCRO WOK
COVERING KIT,COPERTURA KIT
WIRE HARNESS,CABLAGGIO
"NUT M8 H=6,5MM","DADO M8 H=6,5MM"
INSULATED UNIT,ASSIEME MOBILE ISOLATO
TERMINAL CONNECTION,BLOCCO TERMINALE
CONTROL PLATE,PIASTRA DESTRA
SPHERE AISI304,SFERA AISI304
3-P THERMOSTAT,TERMOSTATO TRIFASE
SAFETY THERMOSTAT 270°C,TERMOSTATO DI SICUREZZA 270°C
"REPL,= 0780054033","UGELLO DIA 1,9"
GAS LINE BURNER,CONDUTTURA ENTRATA GAS
GASKET L=180MM,GUARNIZIONE L=180MM
"EL,PRESS,BRAIS,PAN+STEAM,80L(H),FS,D900","BRASIERA EL,RETT,PRESS+CV,80L(H)P=900MM"
CONTACT ELEMENT,PULSANTE
VALVE DW15 CHECK,VALVOLA
"ALUM,LINEAR SHELV,-POLY,TIERS-373X2760MM","SC,LINEARI ALLUM,RIP,POLYETH-373X2760MM"
"COMPRESSOR,NB6144Z,220 240V 50HZ,R134A","COMPRESSORE,NB6144Z,220 240V 50HZ,R134A"
FEEDING LADDER,ASSIEME TELAIO SLITTA
FEEDER SHAFT,ALBERO ALIMENTATORE
"REPL,= 077475794703",BANDFINGER WEI BAND-GSM
INDUCTION COIL,BOBINA DI INDUZIONE
"FULL IND,OPEN,H2,2ZONE,2S,500X900X800H","INDUZ,AMPIA SUP,2 ZONE+VANO APER,2L,H800"
INNER GLASS,VETRO INTERNO
SWITCHBOARD,PULSANTIERA
SHELL USA,CHIOCCIOLA USA
INFRARED LAMP,LAMPADA INFRAROSSO
"DOOR RIGHT,396X717","PORTA RIGHT,396X717"
GATE RIGHT 6.10,"RASTRELLIERA PORTATEGLIE LATO DX,6,10"
WATER RESERVOIRE,CONTENITORE ACQUA JET SPRAY
PROBE 60/+1000°C,"SONDA STAGNA PER SUP,PIANA 60/+1000°C PUNT,Ø 4MM"
SLEEVE PIN,SPINA
RINSE ARE,RISCIACQUO SONO
AUXILIARY ELECTRICAL BOX,SCATOLA PER COMP ELET
FRT GUARD EMX60/80,PROTEZIONE FRT EMX60/80
"INDUCT,4Z,WARM CAB,1S,BS,800X850X700H","INDUZIONE 4 ZONE+ARM,CALDO,1LATO,ALZ,H2"
WHEEL PIN,PERNO RUOTA
FLOAT NGQ,GALLEGGIANTE
SUCTION ACCUMULATOR,BOILER 30X100 SP1 GT1 SALDATO
LABEL STICKER,ETICHETTA
"PLAN,MIXER-FLOOR-ELEC-20L 1PH","MESC,PLAN,20L-PAVIM EL 240/1/50"
FINGER GUARD,PROTEZIONE 1 MT
SEAL STRIP,STRISCIA DI SIGILLO
"REPL,= 0780057402",GUARNIZIONE
BRASS WASHER,RONDELLA
STANDARD STOPPER,TAMPONE
SUPPORT STRIP,LISTELLO DI SUPPORTO
PUMP COVERING,COPERTURA POMPA
HANDLE ASSY TBX130,GRUPPO MANIGLIA TBX130
DRIP FUNNEL,IMBUTO
RINSING NOZZLE,UGELLO RISCIACQUO
TRAY DISPENSER+WHEELS H=900MM,ELEMENTO PORTAVASSOI+RUOTE H=750MM
WORKTOP MODULE,PIANO DI LAVORO
COMPRESSOR HTO30AG,COMPRESSORE HTO30AG
LID SO1650-1840,COPERCHIO ANODIZZATO SO1650-1840
"FUSE 5X20 6,3A","FUSIBILE 5X20 6,3A"
BOILER THERMOSTAT,TERMOSTATO BOILER 85 GRD
FRONT PROTECTION COVER,PROTEZIONE FRONTALE DOSATORI
GOVERNOR,REGOLATORE PER RASCHIETTO
HANGER,GANCIO
SEALING,GUARNIZIONE
FO CHAIN,CATENA
COVER TR17,COPERTURA TR17
MXD-M7D SELECTING BUTTON,TASTO
STOPPER,TAMPONE
ELECTRONIC MOTHERBOARD ASSEMBLY,SCHEDA MADRE
MAGNET KNOCKER,BATTENTE CALAMITA GH2 2016
SCREW CD13/4/8,VITE CD13/4/8
SUPPORT SHOE RACK,SUPPORTO
SPACER SET 5PCS,DISTANZIALE SET 5PCS
ENCODER PUSH,POTENZIOMETRO
"CONFIGURED ELECTRONIC,EDR12831",SCHEDA TRIFASE
ADJUSTMENT BAR,BARRA DI REGOLAZIONE
DOOR COMPLETE,PORTA
CYLINDRICAL PIN,SPINA ELASTICA
PINION SHAFT,ALBERO PINIONE
SIGNAL LAMP,LAMPADA DI SEGNALAZIONE
INLET PIPE OIL,CONDUTTURA CARICO OLIO
RAM,LEVA CON PRESSATORE E CERNIERA
WATER CONTAINER FS102,BACINELLA ACQUA FS102
CONTACTOR 20A,CONTATTORE 20A
EVAPORATOR60GR MP145/66,EVAPORATORE
HARNESS_WARMER_B-6,CAVO RISCALDANTE
VALVE-BURNER PIPE,CONDUTTURA RUBINETTO-BRUCIATORE
LOWER PANEL 1800,PANNELLO
EVAPORATOR 40,EVAPORATORE
VEGETABLE DRAWER,CASSETTO VERDURE NEUTRO
GEAR BOX,INGRANAGGIO
SPIRAL TUBE,TUBO SPIRALATO
MOTOR PULLEY,PULEGGIA MOTORE
TRANSFORMER 25VA 240VP/24VS,TRASFORMATORE 25VA 240VP/24VS
GUIDE PIN,PERNO GUIDA
CRANKPIN,MANOVELLA
"NOZZLE 1,05MM","UGELLO 1,05MM"
SPLASHGUARD,PARASPRUZZI IN GOMMA
DRAIN PIPE,TUBO DI SCARICO
DECOMPRESSION TUBE,CONDOTTO DI SCARICO
"INDUCTION,4Z,ST,OVEN,1S,1000X900X800H",INDUZIONE 4 ZONE+FORNO ST 1LATO
WASHER M6,RONDELLA M6
CONDENSER HR110,CONDENSATORE HR110
TERMINAL COVER,COPERTURA
SWITCH SELECTOR,SELETTORE
"CONTACT-E03,003",CONTATTO
MOTOR BASE,SUPPORTO MOTORE
BOTTOM WHITE,FONDO
REDUCTION,RIDUZIONE
NEEDLE SPRING LM500,MOLLA AGO LM500
COMMUNICATION LEAD,CAVO
ROLLER SHORT ASSEMBLY,ASSIEME RULLO CORTO
MILK COOLER,UNITA' REFRIGERANTE
BASKET HANDLE,MANIGLIA
EVAPORATOR MOTOR,MOTORE PER EVAPORATORE
"DISPLAY UNIT,FREEZER+5-18°C,500LT","VETRINA FREEZER+5-18°C,500 LT"
PLASTIC PIPE,TUBATURE DI PLASTICA
C CLAMP,MORSETTO A C
"REPL,= 0780085480",FLAP PLEXIGLASS
IOT SUPPORT,SUPPORTO IOT
INLET MASK,SUPPORTO
TERMINAL FET/UET94,KLEMME FET/UET94
FILTER DRIER,ESSICCATORE FILTRO
STOPPING BASIN,FERMO ANTERIORE TEGLIE
LABEL_REAR PORTS_AUTOFILL_DOUBLE,ETICHETTA
FINGER ITALY,DITO ITALY
TUB,VASCA
CANTEEN,MENSA
LOCKING DISK,RONDELLA DI FERMO
HOOKING LEVER JUNIOR,LEVA DI AGGANCIO JUNIOR
BRACE,PUNTELLO
DOOR KPL,PORTA COMPLETE
GASKET F/HEAT EXCHANGER,GUARNIZIONE SCAMBIATORE ARIA CAMERA SUPERIORE
"ICE CRUSHER,BLENDER-MIXER","TRITAGHIACCIO,FRULLATORE"
WHISK 20L,FRUSTA 20 LT
DOUBLE-HEADED TUBE,TUBETTO
CHIMNEY UPSTAND 200MM,ALZATINA PER CAMINO ELEMENTI 200 MM
MOTOR CPL XBE40-XBB20/30,MOTORE CPL XBE40-XBB20/30
WASH TANK BASEMENT,VASCA DI LAVAGGIO
HINGE UPPER,CERNIERA UPPER
"EL,WARM CAB,1-DOOR,H2,GN,1S,600X800X550H",BASE ARMADIATA 1PORTA 1LATO600MM-H2-H550
FINGERLINK,MAGLIA GIUNZIONE PORTAPOSATE
LOWER SCRAPER,RASCHIETTO
"WORK TOP,CLOSED,1-SIDE,800X800X250H",NEUTRO TOP 800MM 1 LATO
MXD-M7D MICROSWITCH CABLE,INTERRUTTORE
EVAPORATOR IQ135/150,EVAPORATORE
GROUND SOCKET,PRESA DOPPIA
"CUPBOARD BASE,H2,GN,2D,1S,1000X850X450H","VANO ARMADIATO,H2,GN,2PORTE,1L,1000XH450"
INSULATING COVER,COPERCHIO ISOLANTE
"O-RING 4X2,5","ANELLO OR 4X2,5"
REDUCER RING,ANELLO RIDUZIONE
"SCREW,M6X12",VITE M6X12
COVERPLATE DISPLAY,PANNELLO DI COPERTURA
RELIEF VALVE SUB-ASSEMBLY,VALVOLA
HANDLE K/19,MANIGLIA
"REPL,= 0700238175",MORSETTIERA
FILTER GIX5-ISI8-AL8,FILTRO USCITA BOMBOLA GIX5-ISI8-AL8
COMPONENT SUPPORT,SUPPORTO COMPONENTI
SHAFT RIGHT,ALBERO RIBALTAMENTO DESTRO
OUTLET REMOVABLE PANEL,PANNELLO
BOTTOM PLATE SG,PANNELLO DI FONDO
INNENKESSEL PBOT/PBON150,BOILER PBOT/PBON150
W CONDENSER,CONDENSATORE
PILOT BURNER,BRUCIATORE PILOTA
MACHINE PLUG,"SPINA DA PANNELLO FISSAGGIO A VITE 2P+TERRA FASTON 6,3"
DOOR GASKET,GUARNIZIONE PORTA
NOZZLE_SPRAY HEAD_BPA-FREE,UGELLO
SENSOR TRX/MULTI-TR200,SENSORE TRX/MULTI-TR200
SEALER SILICONE,SILICONE SIGILLANTE
KIT_PREVENTIVE MAINTENANCE_GB3,KIT RIPARAZIONE
PROBE 110-190°C,"BULBO FRIGGITR,110÷190°C C/BULBO BOTTONE"
"REPL,= 07800A2083",UGELLO
CRANK LMT,MANOVELLA LMT
"REPL,= 0700214803",SICHERUNG THERMISCH
DISPLAY_REMOTE_TANK CONTROL,DISPLAY
PLATE 375X500 19DM2,PIASTRA 375X500 19DM2
PILLAR ASSEMBLY,TRAVERSA
TELESCOPIC TAMPER ROD,ASTA
WASH PUMP SUPPORT,SUPPORTO POMPA LAVAGGIO
SHELF 1000X550MM,RIPIANO SCAFFALE INOX 304 1000X550MM
ARM RIGHT,BRACCIO RIGHT
WIRING HARNESS I-PRO,CABLAGGIO
"MULTIRINSE RT,200R/H,ELEC,0-LIME,L>R,HP","LS CESTO TRAS,200C/H,ELET,S>D,POMPA CAL"
"TABLE+SPLBACK3L/H DRAW 2SLID,DOORS1600MM",TAVOLO C/ALZ 3 CASSETTI L/H 2 PORTE SCORREVOLI 1600MM
GREASE 50G,GRASSO 50G
BRACKET COMPOSANT TRS,SQUADRETTA COMPOSANT TRS
WARNING MEMBRANE,MEMBRANA
CABLE L=180CM,CAVO L=180CM
BRACKET SAFETY TEMPERATURE,SQUADRETTA SAFETY TEMPERATURE
"MOTOR,220/400V-50HZ,2,2/0,75KW,2 SPEED","MOTORE,220/400V-50HZ,2,2/0,75KW,2 VELOC"
SLICING DISC (2MM,DISCO FETTE 2MM
"REPL,= 077000710272",ENDANSCHLAG FUER SPINDEL
CARD IR-HTH,SCHEDA RICEVENTE IR-HTH
FAN QLN65/0012-2524,VENTILATORE QLN65/0012-2524
PUMP CONNECTION WELDING,TUBO DI CONNESSIONE
FLOAT SWITCH ASSEMBLY,INTERRUTTORE
"DECANTER,UNBREAKABLE,1,8 LT","CARAFFA INFRANGIBILE,1,8 LT"
AIR KNIFE,PULEGGIA VENTILATORE
BEARING 6302 2RS,CUSCINETTO 6302 2RS
"J,G PPSVO41212W","J,G PPSVO41212W / D20GR0600"
"PASSTH,OPEN BASE,H2,2-SIDE,900X900X550H","VANO APERTO PASSANTE,H2 2LATI 900XH550"
"FITTING DIA,5","RACCORDO BULBO DIA,5"
BAKING TRAY H=40MM,TEGLIA LISCIA ANTIADERENTE H=40MM
DRAIN BOX CAP,CALOTTA
FALSE BOTTOM,FALSO FONDO
FOIL KEYBOARD,TASTIERA NERO
UNION ELBOW 15X1,RACCORDO A GOMITO 15X1
MACHINE PROTECTION,PROTEZIONE SORBY DREAM 1
KIT_PREVENTIVE MAINTENANCE_GRANITA_MT2 MINI,KIT RIPARAZIONE
CHAMBER,CAMERA SUPERIORE E INFERIORE SAVEVAC 33
RINSE ARM,BRACCIO RISCIACQUO
SCREW M6X60,VITE M6X60
NIGHT COVERING,COPERTURA NOTTURNA
BREATHER PIPE,TUBO DI SFIATO
"EL,FRYTOP,SMOOTH PL,1-SIDE,400X900X800H","FRYTOP EL PIASTRA LISCIA,1 LATO H800"
DOORLATCH,FERMO PORTA
CABLE X1-F2-F3-K1-K2,CAVO X1-F2-F3-K1-K2
INSULATING PANEL PUET17E,PANNELLO ISOLANTE
SPACER BUSH,BUSSOLA DISTANZIALE
BOTTOMPLATE,PIASTRA DI FONDO
DRAWER,CASSETTO
NEEDLE LM500,AGO LM500
CHAIN 3/8D,CATENA 3/8D
COVER 300-385,CAPPOTTINA 300-385
LEFT STRIP,PROFILO
SMALL DISC,PIATTELLO
MAGNET UX60 B,MAGNETE CON CALOTTA UX60 B
BAR GUIDE,GUIDA ASTA
DAMPER MOTOR,MOTORE
"ALUM,CORNER SHELV,-POLY,TIERS-475X1844MM","SC,AD ANG ALLUM,RIP,POLYETH-475X1844MM"
AIR CONVEYOR,CONVOGLIATORE ARIA
AIR BAFFLE,DIFFUSORE
RINSING ARM,BRACCIO LAVAGGIO
NOMEX THREAD,FILO IN NOMEX 1 MT
"BAIN-MARIE UNIT,15LT,2,7KW","CONTENITORE BAGNOMARIA,15LT,2,4KW"
OVEN GASKET 685X800MM,GUARNIZIONE PORTA FORNO 685X800MM
"REPL,= 0780054628","SICHERHEITSHAHN ART,-NR 54628"
EPDM HOSE,TUBO EPDM
UPPER HINGE RIGHT,CERNIERA SUPERIORE DESTRA
DIFFUSER T25E,DIFFUSORE T25E
FELT T55-56,FELTRO T55-56
SOLID-STATE RELAY,RELE
"BUSHING 6,2X10X7,5",BOCCOLA
AUGER,ALBERO A COCLEA
CONTACTOR CA 3-12,CONTATTORE CA 3-12
UPPER DISK,DISCO SUPERIORE
PULLEY EMB PSR100,PULEGGIA EMB PSR100
SLIDE ROD TRX,ASTA SCORREVOLE TRX
COVER H-1500-H,COPERTURA
BRACKET ENTRAINEMENT XBM10,SQUADRETTA ENTRAINEMENT XBM10
GASKET SILICONE,GUARNIZIONE SILICONE
"REPL,= 077482577421",GIRANTE POMPA
TICKNESS WASHER,RONDELLA DI SPESSORAMENTO
DISCHARGE TAP,RUBINETTO DI MANDATA
BELT 22X8X800,CINGHIA 22X8X800
LIGHT SCREEN,SCHERMO LUCE
PUMP STIRRUP,STAFFA PER POMPA
DECAL_GRIND ADJUST_GNB,ETICHETTA
TERMINAL BOARD FV122,MORSETTIERA FV 122
TRAY HOLDER,SUPPORTO BACINELLA
"BLADE DIA,8","TRASCINAMENTO DIAM,8 PER LAME RNO"
CASTOR WHEEL,CASTER
MEMBRANE XBE20,MEMBRANA XBE20
"O-RING 56,52X5,33 MM","ANELLO OR 56,52X5,33 MM"
STEM,ASTINA
SPRAY GUIDE BOTTOM,BRACCIO RISCIACQUO
SPANNER 7MM,CHIAVI A PIPA ESAGONALE PASSANTI
GUIDE REPAIR KIT,GUIDA KIT RIPARAZIONE
EXHAUST COCKPIT GASKET,GUARNIZIONE POZZETTO
"NOZZLE 0,5MM","UGELLO DIA 0,5"
MAIN SWITCH 20A,INTERRUTTORE
"PIVOT Q,12X12","PERNO Q,12X12"
"REPL,= 0780069532",SIFONE
DECAL_FIELD WIRING_B-SERIES,ETICHETTA
MICROSWITCH SET,MICROINTERRUTTORE SET
SCRAPER FOR INFRAROUGE/INDUCTION,RASCHIETTO FOR INFRAROUGE/INDUCTION
COUNTER BRACKET,CONTROSTAFFA
USE 3030314,USARE 3030314
PIVOT PSX,PIANTONE PSX
REARPANEL LEFT,PANNELLO POSTERIORE LEFT
CONTACTOR 220-255V 50-60HZ,CONTATTORE 220-255V 50-60HZ
O-RING SET,ANELLO OR SET
PCB IOT,SCHEDA ELETTRONICA IOT
SENSOR SUPPORT,SUPPORTO
HINGE LEFT,CERNIERA SX
CONNECTIONS,RACCORDO 2 PCS
ELECTRIC PANEL,PANNELLO ELETTRICO
BACK PLATE LEFT,PIASTRA
VALVE COMPLETE,VALVOLA
AIR COVER,ISOLANTE
LYE PUMP,POMPA SCARICO
"OVERSHELF,UNHEATED,1800 MM","MENSOLA D'APPOGGIO NEUTRA,1800 MM"
RINSE,RISCIACQUO
SPRING PULLEY,MOLLA
TRIPLE ELECTRODE DOME,ELETTRODO
"MULTIRT,150R/H,L DRYER,EL,0-LIME,L>R,ESD",CESTO TRAS ACTIVE 150 C/H DECALCIF AUT TUNNEL ASCIUG 900MM S>D ESD
"EVAP ASSY CS-2E/1D,R290",EVAPORATORE
BOTTOM HINGE,CERNIERA
CORE PROBE CONNECTOR,CONNETTORE PER SONDA SPILLONE
THERMOCOUPLE L=900MM,TERMOCOPPIA L=900MM
"NOZZLE 1,80","UGELLO 1,80"
REAR PANEL 14LT,PANNELLO POSTERIORE
GUIDE LEFT,GUIDA SX
FILTER CAP,TAPPO FILTRO
"HAND SHOWER 1/2""F","TESTA DOCCIA 1/2""F"
FLOW BAFFLE,DIFFUSORE A BAIONETTA PER BOMBOLA >20LT
BELT 8X920,CINGHIA 8X920
FILTER HOLDER,SUPPORTO
BAKING SHEET,TEGLIA
DOOR GASKET 480X290MM,GUARNIZIONE PORTA
LINKING CABLE,CABLAGGIO
GASKET DN50,GUARNIZIONE DN50
"TRANSFORMER BMX60-80,EM60-80",TRASFORMATORE
HANDLE DX,MANIGLIA DX
SCREW SPANNER,CHIAVE FISSA PER VITE
TR250 EJECTOR DRIVE,AZIONAMENTO EIETTORE TR250
VP4 SEAL,GUARNIZIONE
COLUMN BE8,COLONNA BE8
COVERING ZAN,COPERTURA MOBILE CON MARCATURA ZAN
SCREW ASSY,ASSIEME VITI BASI VANO
PANEL MEMBRANE,PANNELLO
DOSER GEAR,INGRANAGGIO
FLEXIBLE PIPE,FLESSIBILE
COMPRESSOR NJ9238GK,COMPRESSORE NJ9238GK
STUDS,PRIGIONIERI
"6-BURN(CASTIRON)GAS RANGE+OVEN+CUPB,1200",CUCINA GAS 6 FUOCH(GHISA)+FORNO+ARM 1200
"REPL,= 0700246379",GUARNIZIONE
"ALUM,LINEAR SHELV,-POLY,TIERS-475X1696MM","SC,LINEARI ALLUM,RIP,POLYETH-475X1696MM"
M5 BOTTOM,FONDO
RAIL SUPPORT,SUPPORTO
THREAD,FILO DI TAGLIO
GRID SHELF,RIPIANO GRIGLIATO GN 1/1 IN RILSAN
INSTALLATION KIT,KIT DI INSTALLAZIONE
WIRE RV4 SQMM,CAVO
SWITCHBOARD COMPLETE,PULSANTIERA COMPLETE
MACHINE SEAL,SIGILLO DELLA MACCHINA
SHEARS,FORBICI I 145
CABLE OUT,PROLUNGA PER CONNESSIONE TAVOLI USCITA
INDUCTIVE DETECTOR,TERMISTORE
COAMING BRACKET,SQUADRETTA
LAUCHING CHAMBER SPEEDELIGHT,ASSIEME CAMERA DI LANCIO SPEEDELIGHT
"TUBING,5/16IDX1/2ODSILICONE",TUBO SILICONE DI 5/16 DI X 1/2 DE
PM KIT_SIMPLICITY_NO FILTER_CS-4E-16,KIT RIPARAZIONE
PIZZA WARMER,PIASTRA SCALDAPIZZA
"LAMP 250V,S90,USA","LAMPADA 250V,S90,USA"
MECHANICAL SEAL RING,ANELLO OR
LABEL SET,ETICHETTA
MULTIFUNCTION HOOK,GANCIO MULTIFUNZIONE
SPACER D27X40,DISTANZIALE GRUPPO LAMA D27X40
SP2 CONVEYOR,CONVOGLIATORE SP2
OSCILLATION ABSORBER,ASSORBITORE OSCILLAZIONI
SHELF SUPPORT,SUPPORTO RIPIANO
"REPL,= 0700210006",DISPOSITIVO CONTROLLO FIAMMA
MAT 488X2050MM,TAPPETO 488X2050MM
LABEL_CAUTION_ACCESS PANEL_BLA,ETICHETTA
COVER BASE AUTOFILL,COPERTURA
CBA TITAN DUAL/SNGL,SCHEDA ELETTRONICA
"GAS TOP,4BURN,S,OVEN,1S,BS,1000X900X800H","CUCINA GAS 4FUOCHI+FORNO ST,,1L,ALZ,H800"
GASKETS KIT,GUARNIZIONE
PUMP PROTECTION,PROTEZIONE POMPA
ADHESIVE GASKET PTFE,GUARNIZIONE ADESIVA IN PTFE
ILLUMINATED SWITCH,DEVIATORE LUMINOSO
CABLE LIAISON EL25,CAVO LIAISON EL25
UPPER LOCKING LID,COPERCHIO
HOSE BY METER,TUBO FLESSIBILE AL METRO
HANDLE PLATE LM500,PIASTRA MANIGLIA LM500
DISPLAY MEMBRANE,MEMBRANA DISPLAY
CONNECTING TERMINAL BOARD,MORSETTIERA
RECHARGE VALVE,VALVOLINA DI RICARICA
NUT M14,DADO M14
BAR ROUND,BARRA TONDA
TENSIONER PIN,PERNO TIRANTE
STRAINER BOX,FILTRO A CASSETTA
FEA BOILER ASSEMBLY,MONTAGGIO CALDAIA FEA
ASSEMBLED SHAFT CX21D,ALBERO ASSEMBLATO CX21D
"REPL,= 077019003296",ANELLO A V
THERMOSTAT 60-185°C,TERMOSTATO 60-185°C
RETAINING RING,ANELLO DI RITEGNO
CONDUCTIVE PASTE,PASTA TERMOCONDUTTIVA
SUPPORT REAR,SUPPORTO
GROMMET,PASSACAVO
GRILL L,GRIGLIA SX
"CLIP,NYLON CABLE",CLIP
PACKAGING SP1 2021,PROTEZIONE LAT CARTONE SP1 2021
PARTITION PLATE,PIASTRA SEPARATRICE
CONNECTOR COVER,COPRICONNETTORE IN GOMMA
DISENGAGEMENT,DISINNESTO
TUBE HEATER,CARTUCCIA RISCALDANTE
SIGN SMARTMIX,ETICHETTA
TENSIONER PLATE,PIASTRA DI FISSAGGIO
SPRAY TUBE CS3L,ASTA RISCIACQUO
LATERAL GLASS,VETRO LATERALE
"FAUCET SHANK,PLSTC-BLK 4,88LG",MANDRINO
"INDUCTION WOK,1ZONE,1S,BSPL,500X800X250H",WOK A INDUZIONE 1 ZONA 1 LATO C/ALZATINA
FUSE 5X20,FUSIBILE 5X20
OIL FEED REGULATOR,REGOLATORE PORTATA OLIO KIT
HANDLE ASS,MANIGLIA
UPPER CAULKING,"COIBENTAZIONE SUPERIORE F,J"
STOP VALVE,VALVOLA
FLARE GASKET BLK,GUARNIZIONE
"ALUM,LINEAR SHELV,-POLY,TIERS-475X2760MM","SC,LINEARI ALLUM,RIP,POLYETH-475X2760MM"
THERMOSEAL TAPE,NASTRO
FIXING STIRRUP,STAFFA FISSAGIO SCARICO BREADING
WATER COLUMN,COLONNINA ACQUA
CONNECTION,ATTACCO
BOTTOM PANEL 400MM,PANNELLO DI FONDO 400MM
"TUBE 5X1,5MM","TUBETTO 5X1,5MM VENDITA AL CM"
COMPRESSOR MP295,COMPRESSORE MP295
BEARING NATR 17PP,CUSCINETTO
"ELEC,POT&PAN WASH+D,PUMP+DET-HIGH-900MM","LAVAOG,EL,+POM,SC,+DET AMP,POR 900 MM"
"ALUM,LINEAR SHELV,-POLY,TIERS-475X1784MM","SC,LINEARI ALLUM,RIP,POLYETH-475X1784MM"
"LID 4,5/5,5L TRK2","COPERCHIO 4,5/5,5L TRK2"
BEATER EM80,BATTITORE
VENTILATOR,VENTILATORE
STORING SHELF ARM,BRACCIO MENSOLA SX SE-QSE
OWERFLOW PIPE CRN20,TUBO TROPPOPIENO CRN20
PUSHER DEVICE,TRAMOGGIA
WORK TABLE+UPSTAND-DISASSEMBLED 1000MM,TAVOLO C/ALZATINA DISASSEMBLATO 1000MM
TORQUE,ASTA DI AVVIAMENTO 1 MT
STARTING BUTTON PIN,SPINA
AIR SLIDE,GUIDA ARIA
"MICROWAVE OVEN,20LT,1500W","FORNO MICROONDE,20LT,1500W"
CABLE TRANSFORMER-VALVE,CAVO TRANSFORMER-VALVE
ROD LINKAGE,MAGLIA DI GIUNZIONE
